0: kd> dqs win32kbase!gDxgkInterface L1000
ffff9d25`eb755fd0  00000000`00260890
ffff9d25`eb756388  fffff80d`1d51d110 dxgkrnl!DxgkOutputDuplReleaseFrame
ffff9d25`eb756390  fffff80d`1d4f1ff0 dxgkrnl!DxgkSessionConnected
ffff9d25`eb756398  fffff80d`1d4f1d50 dxgkrnl!DxgkPreSessionDisconnected
ffff9d25`eb7563a0  fffff80d`1d4f20a0 dxgkrnl!DxgkSessionDisconnected
ffff9d25`eb7563a8  fffff80d`1d4f2160 dxgkrnl!DxgkSessionReconnected
ffff9d25`eb7563b0  fffff80d`1d4f18d0 dxgkrnl!DxgkGetAdapter
ffff9d25`eb7563b8  fffff80d`1d4f1e30 dxgkrnl!DxgkReleaseAdapter
ffff9d25`eb7563c0  fffff80d`1d51c870 dxgkrnl!DxgkDesktopSwitch
ffff9d25`eb7563c8  fffff80d`1d45b520 dxgkrnl!DxgkPinDirectFlipResources
ffff9d25`eb7563d0  fffff80d`1d45bfc0 dxgkrnl!DxgkUnpinDirectFlipResources
ffff9d25`eb7563d8  fffff80d`1d43cc30 dxgkrnl!DxgkStatusChangeNotify
ffff9d25`eb7563e0  fffff80d`1d3e8c30 dxgkrnl!DxgkEnableUnorderedWaitsForDevice
ffff9d25`eb7563e8  fffff80d`1d3fb980 dxgkrnl!DxgkCddVerifyCddDevMode
ffff9d25`eb7563f0  fffff80d`1d4f1c90 dxgkrnl!DxgkIsVidPnSourceOwnerDwm
ffff9d25`eb7563f8  fffff80d`1d4b7850 dxgkrnl!DxgkIsVidPnSourceOwnerExclusive
ffff9d25`eb756400  fffff80d`1d43f010 dxgkrnl!DxgkGetMonitorDeviceObject
ffff9d25`eb756408  fffff80d`1d4b9b70 dxgkrnl!DxgkWaitForVerticalBlankEvent2
ffff9d25`eb756410  fffff80d`1d4b74f0 dxgkrnl!DxgkGetDWMVerticalBlankEvent
ffff9d25`eb756418  fffff80d`1d4215f0 dxgkrnl!DxgkSetSyncRefreshCountWaitTarget
