1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83b70  fffff802`2faa8f10 dxgkrnl!DxgkReleaseSwapChain
ffffe25a`69d83b78  fffff802`2faa8610 dxgkrnl!DxgkGetSetSwapChainMetadata
ffffe25a`69d83b80  fffff802`2faa73d0 dxgkrnl!DxgkAbandonSwapChain
ffffe25a`69d83b88  fffff802`2fa2bed0 dxgkrnl!DxgkSetDodIndirectSwapchain
ffffe25a`69d83b90  fffff802`2fa55910 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport2
ffffe25a`69d83b98  fffff802`2faa2d50 dxgkrnl!DxgkPresentMultiPlaneOverlay2
ffffe25a`69d83ba0  fffff802`2f8ff180 dxgkrnl!DxgkReclaimAllocations2
ffffe25a`69d83ba8  fffff802`2fa2f4d0 dxgkrnl!DxgkGetResourcePresentPrivateDriverData
ffffe25a`69d83bb0  fffff802`2fa806f0 dxgkrnl!DxgkSetStablePowerState
ffffe25a`69d83bb8  fffff802`2fa2b140 dxgkrnl!DxgkQueryClockCalibration
ffffe25a`69d83bc0  fffff802`2f9157a0 dxgkrnl!DxgkConvertLegacyQDCAdapterAndIdToActual
ffffe25a`69d83bc8  fffff802`2f951020 dxgkrnl!DxgkDisplayOnOff
ffffe25a`69d83bd0  fffff802`2f90a590 dxgkrnl!DxgkIsVirtualizationDisabledForTarget
ffffe25a`69d83bd8  fffff802`2f976e50 dxgkrnl!DxgkIsSourceInHardwareClone
ffffe25a`69d83be0  fffff802`2f97b1a0 dxgkrnl!DxgkQueryVidPnExclusiveOwnership
ffffe25a`69d83be8  fffff802`2fa95710 dxgkrnl!DxgkProcessLockScreen
ffffe25a`69d83bf0  fffff802`2fa8d5f0 dxgkrnl!DxgkCopyPathsModality
ffffe25a`69d83bf8  fffff802`2fa8d550 dxgkrnl!DxgkApplyCdsjToPathsModality
ffffe25a`69d83c00  fffff802`2faa41e0 dxgkrnl!DxgkUpdateDpiInfoForNewOverride
ffffe25a`69d83c08  fffff802`2f96eb10 dxgkrnl!DxgkInitializeDpi
ffffe25a`69d83c10  fffff802`2f978e10 dxgkrnl!DxgkGetDpiOverrideForSource
ffffe25a`69d83c18  fffff802`2fa29450 dxgkrnl!DxgkAdjustFullscreenGamma
ffffe25a`69d83c20  fffff802`2faaab80 dxgkrnl!DxgkGetLegacyDpiInfo
ffffe25a`69d83c28  fffff802`2fa77b60 dxgkrnl!DxgkWin32kSetPointerPosition
ffffe25a`69d83c30  fffff802`2fa77cc0 dxgkrnl!DxgkWin32kSetPointerShape
ffffe25a`69d83c38  fffff802`2fa2c380 dxgkrnl!DxgkSetVidPnSourceHwProtection
ffffe25a`69d83c40  fffff802`2f901270 dxgkrnl!DxgkMarkDeviceAsError
ffffe25a`69d83c48  fffff802`2f96e6a0 dxgkrnl!DxgkFlushHeapTransitions
